Customer ID,Gender,Age,Married,City,Zip Code,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges, Lines  type,Internet Service,Internet Type,Avg Monthly GB Download,Streaming,Contract,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0002-ORFBO,Female,37,Yes,Frazier Park,93225,2,9,Yes,42.39,Single,Yes,Cable,16,TV,One Year,Credit Card,65.6,593.3,381.51,974.81,Stayed,No Churn,No Churn
0003-MKNFE,Male,46,No,Glendale,91206,0,9,Yes,10.69,Multiple,Yes,Cable,10,Movies & Music,Month-to-Month,Credit Card,-4,542.4,96.21,610.28,Stayed,No Churn,No Churn
0004-TLHLJ,Male,50,No,Costa Mesa,92627,0,4,Yes,33.65,Single,Yes,Fiber Optic,30,Unknown,Month-to-Month,Bank Withdrawal,73.9,280.85,134.6,415.45,Churned,Competitor,Competitor had better devices
0011-IGKFF,Male,78,Yes,Martinez,94553,1,13,Yes,27.82,Single,Yes,Fiber Optic,4,TV&Movies,Month-to-Month,Bank Withdrawal,98,1237.85,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,Female,75,Yes,Camarillo,93010,3,3,Yes,7.38,Single,Yes,Fiber Optic,11,TV,Month-to-Month,Credit Card,83.9,267.4,22.14,289.54,Churned,Dissatisfaction,Network reliability
0013-MHZWF,Female,23,No,Midpines,95345,0,9,Yes,16.77,Single,Yes,Cable,73,TV&Movies & Music,Month-to-Month,Credit Card,69.4,571.45,150.93,722.38,Stayed,No Churn,No Churn
0013-SMEOE,Female,67,Yes,Lompoc,93437,1,71,Yes,9.96,Single,Yes,Fiber Optic,14,TV&Movies & Music,Two Year,Bank Withdrawal,109.7,7904.25,707.16,8611.41,Stayed,No Churn,No Churn
0014-BMAQU,Male,52,Yes,Napa,94558,8,63,Yes,12.96,Multiple,Yes,Fiber Optic,7,Unknown,Two Year,Credit Card,84.65,5377.8,816.48,6214.28,Stayed,No Churn,No Churn
0015-UOCOJ,Female,68,No,Simi Valley,93063,0,7,Yes,10.53,Single,Yes,DSL,21,Unknown,Two Year,Bank Withdrawal,48.2,340.35,73.71,414.06,Stayed,No Churn,No Churn
0016-QLJIS,Female,43,Yes,Sheridan,95681,3,65,Yes,28.46,Multiple,Yes,Cable,14,TV&Movies & Music,Two Year,Credit Card,90.45,5957.9,1849.9,7807.8,Stayed,No Churn,No Churn
